/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/631_test/dmc_sim_r_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 3000.0
client_limit = 0.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 400000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 294232 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_131: 3218.00 1782.00    0.00 5000.00
      t_132: 3221.50 1782.50    0.00 5004.00
      t_133: 3891.50 1141.00    0.00 5032.50
      t_134: 5062.00    0.00    0.00 5062.00
      t_135:  656.00    0.00    0.00  656.00
      t_136:    0.00    0.00    0.00    0.00
      t_137:    0.00    0.00    0.00    0.00
      t_138:    0.00    0.00    0.00    0.00
      t_139:    0.00    0.00    0.00    0.00
      t_140:    0.00    0.00    0.00    0.00
      t_141: 4671.50    0.00    0.00 4671.50
      t_142: 4971.50    0.00    0.00 4971.50
      t_143: 4893.50    0.00    0.00 4893.50
      t_144: 4881.50    0.00    0.00 4881.50
      t_145: 5008.50    0.00    0.00 5008.50
      t_146: 5005.50    0.00    0.00 5005.50
      t_147:  567.50    0.00    0.00  567.50
      t_148:    0.00    0.00    0.00    0.00
    res_ops:  556785  289628       0  846413
   prop_ops:   43215  110372  300000  453587
total time to track responses: 1921973862 nanoseconds;
    count: 1300000;
    average: 1478.44 nanoseconds per request/response
total time to get request parameters: 1934434623 nanoseconds;
    count: 1300000;
    average: 1488.03 nanoseconds per request/response

client timing for QOS algorithm: 2966.47 nanoseconds per request/response
client 0's 95th latency: 1665, 23533, 24631
client 0's 99th latency: 3586, 34053, 35458
client 0's max latency: 109506, 774615, 775878
client 0's average latency: 1118, 3350, 30744573453493

client 1's 95th latency: 3527, 27414, 29325
client 1's 99th latency: 3644, 40642, 42688
client 1's max latency: 110407, 165659, 166965
client 1's average latency: 1686, 46116860182461, 46116860184148

client 2's 95th latency: 3694, 37111, 39917
client 2's 99th latency: 3869, 49255, 52540
client 2's max latency: 65297, 455339, 456989
client 2's average latency: 1919, 61489146905695, 61489146907615


==== Server Data ====
     server:       0   total
    res_ops:  846413  846413
   prop_ops:  453587  453587

 k-way heap: 2

total time to add requests: 21930597024 nanoseconds;
    count: 1300000;
    average: 16869.69 nanoseconds per request/response
total time to note requests complete: 3532612504 nanoseconds;
    count: 1300000;
    average: 2717.39 nanoseconds per request/response

server timing for QOS algorithm: 19587.08 nanoseconds per request/response

Process finished with exit code 0
