/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/111_test/dmc_sim_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 7000.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 3000
client_outstanding_ops = 100
client_reservation = 1000.0
client_limit = 0.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 900000
client_server_select_range = 20
client_iops_goal = 6000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 524172 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 1683.50 1684.00 1683.50 5051.00
        t_1: 1683.00 1683.00 1683.00 5049.00
        t_2: 1683.00 1682.50 1682.50 5048.00
        t_3: 1671.00 1671.50 1671.50 5014.00
        t_4: 1670.00 1671.00 1670.00 5011.00
        t_5: 1678.00 1677.50 1677.50 5033.00
        t_6: 1681.00 1681.00 1682.00 5044.00
      t_176: 5060.50    0.00    0.00 5060.50
      t_177: 4971.50    0.00    0.00 4971.50
      t_178: 4940.50    0.00    0.00 4940.50
      t_179: 5012.00    0.00    0.00 5012.00
      t_180: 5112.50    0.00    0.00 5112.50
      t_181:  800.50    0.00    0.00  800.50
      t_182:    0.00    0.00    0.00    0.00
      t_183:    0.00    0.00    0.00    0.00
      t_184:    0.00    0.00    0.00    0.00
      t_185:    0.00    0.00    0.00    0.00
      t_186:    0.00    0.00    0.00    0.00
      t_187:    0.00    0.00    0.00    0.00
      t_188: 1674.00    0.00    0.00 1674.00
      t_189: 4880.00    0.00    0.00 4880.00
      t_190: 4850.00    0.00    0.00 4850.00
      t_191: 5076.50    0.00    0.00 5076.50
      t_192: 5047.00    0.00    0.00 5047.00
      t_193: 4963.50    0.00    0.00 4963.50
      t_194: 3509.00    0.00    0.00 3509.00
      t_195:    0.00    0.00    0.00    0.00
      t_196:    0.00    0.00    0.00    0.00
      t_197:    0.00    0.00    0.00    0.00
      t_198:    0.00    0.00    0.00    0.00
      t_199:    0.00    0.00    0.00    0.00
      t_200:    0.00    0.00    0.00    0.00
      t_201:    0.00    0.00    0.00    0.00
      t_202: 3837.00    0.00    0.00 3837.00
      t_203: 4977.00    0.00    0.00 4977.00
      t_204: 5094.50    0.00    0.00 5094.50
      t_205: 5091.50    0.00    0.00 5091.50
      t_206: 5096.00    0.00    0.00 5096.00
      t_207: 5106.50    0.00    0.00 5106.50
      t_208:  797.50    0.00    0.00  797.50
      t_209:    0.00    0.00    0.00    0.00
      t_210:    0.00    0.00    0.00    0.00
      t_211:    0.00    0.00    0.00    0.00
      t_212:    0.00    0.00    0.00    0.00
      t_213:    0.00    0.00    0.00    0.00
      t_214:    0.00    0.00    0.00    0.00
      t_215: 1711.00    0.00    0.00 1711.00
      t_216: 4880.00    0.00    0.00 4880.00
      t_217: 4946.50    0.00    0.00 4946.50
      t_218: 5037.00    0.00    0.00 5037.00
      t_219: 5038.00    0.00    0.00 5038.00
      t_220: 4913.50    0.00    0.00 4913.50
      t_221: 3474.00    0.00    0.00 3474.00
