/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/631_test/dmc_sim_rwl3_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 5000.0
client_weight = 6.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 3.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 500.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 600027 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_270:    0.00    0.00  500.00  500.00
      t_271:    0.00    0.00  499.50  499.50
      t_272:    0.00    0.00  500.00  500.00
      t_273:    0.00    0.00  500.00  500.00
      t_274:    0.00    0.00  500.00  500.00
      t_275:    0.00    0.00  500.00  500.00
      t_276:    0.00    0.00  500.00  500.00
      t_277:    0.00    0.00  500.00  500.00
      t_278:    0.00    0.00  500.00  500.00
      t_279:    0.00    0.00  500.00  500.00
      t_280:    0.00    0.00  500.00  500.00
      t_281:    0.00    0.00  500.00  500.00
      t_282:    0.00    0.00  500.00  500.00
      t_283:    0.00    0.00  500.00  500.00
      t_284:    0.00    0.00  500.00  500.00
      t_285:    0.00    0.00  500.00  500.00
      t_286:    0.00    0.00  500.00  500.00
      t_287:    0.00    0.00  500.00  500.00
      t_288:    0.00    0.00  500.00  500.00
      t_289:    0.00    0.00  500.00  500.00
      t_290:    0.00    0.00  500.00  500.00
      t_291:    0.00    0.00  500.00  500.00
      t_292:    0.00    0.00  499.50  499.50
      t_293:    0.00    0.00  500.00  500.00
      t_294:    0.00    0.00  500.00  500.00
      t_295:    0.00    0.00  500.00  500.00
      t_296:    0.00    0.00  500.00  500.00
      t_297:    0.00    0.00  500.00  500.00
      t_298:    0.00    0.00  500.00  500.00
      t_299:    0.00    0.00  500.00  500.00
      t_300:    0.00    0.00    7.00    7.00
      t_301:    0.00    0.00    0.00    0.00
    res_ops:       0  170598       0  170598
   prop_ops:  600000  129402  300000 1029402
total time to track responses: 2165489718 nanoseconds;
    count: 1200000;
    average: 1804.57 nanoseconds per request/response
total time to get request parameters: 2430011990 nanoseconds;
    count: 1200000;
    average: 2025.01 nanoseconds per request/response

client timing for QOS algorithm: 3829.58 nanoseconds per request/response
client 0's 95th latency: 1781, 24376, 25961
client 0's 99th latency: 3691, 40785, 42457
client 0's max latency: 151051, 805949, 807270
client 0's average latency: 1158, 30744573454479, 30744573455638

client 1's 95th latency: 3630, 33124, 35053
client 1's 99th latency: 3838, 52630, 54757
client 1's max latency: 67154, 600809, 604517
client 1's average latency: 1558, 6719, 61489146906326

client 2's 95th latency: 3779, 48362, 52298
client 2's 99th latency: 3886, 82486, 86319
client 2's max latency: 75338, 609008, 612489
client 2's average latency: 3343, 61489146908957, 61489146912300


==== Server Data ====
     server:       0   total
    res_ops:  170598  170598
   prop_ops: 1029402 1029402

 k-way heap: 2

total time to add requests: 21816829329 nanoseconds;
    count: 1200000;
    average: 18180.69 nanoseconds per request/response
total time to note requests complete: 6724503454 nanoseconds;
    count: 1200000;
    average: 5603.75 nanoseconds per request/response

server timing for QOS algorithm: 23784.44 nanoseconds per request/response

Process finished with exit code 0
