[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 1250.0
client_limit = 3000.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 1000000
client_server_select_range = 10
client_iops_goal = 5000
client_outstanding_ops = 100
client_reservation = 2000.0
client_limit = 2500.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 5000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 1250.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started

simulation completed in 479957 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_226: 3000.00    0.00 1250.00 4250.00
      t_227: 3000.50    0.00 1250.50 4251.00
      t_228: 3000.00    0.00 1250.00 4250.00
      t_229: 3000.00    0.00 1250.00 4250.00
      t_230: 3000.50    0.00 1250.50 4251.00
      t_231: 3000.50    0.00 1250.00 4250.50
      t_232: 3000.00    0.00 1250.00 4250.00
      t_233: 2999.50    0.00 1250.50 4250.00
      t_234: 2928.50    0.00 1250.00 4178.50
      t_235:    0.00    0.00 1250.00 1250.00
      t_236:    0.00    0.00 1250.50 1250.50
      t_237:    0.00    0.00 1250.00 1250.00
      t_238:    0.00    0.00 1250.00 1250.00
      t_239:    0.00    0.00 1222.50 1222.50
      t_240:    0.00    0.00    0.00    0.00
    res_ops:  455592  852368       0 1307960
   prop_ops:  144408  147632  600000  892040
total time to track responses: 4067771178 nanoseconds;
    count: 2200000;
    average: 1848.99 nanoseconds per request/response
total time to get request parameters: 3928773233 nanoseconds;
    count: 2200000;
    average: 1785.81 nanoseconds per request/response

client timing for QOS algorithm: 3634.79 nanoseconds per request/response
client 0's 95th latency: 3836, 38026, 40345
client 0's 99th latency: 3964, 57319, 60517
client 0's max latency: 64276, 744256, 745549
client 0's average latency: 1825, 878, 2704

client 1's 95th latency: 3792, 25969, 28042
client 1's 99th latency: 3910, 40253, 42507
client 1's max latency: 186348, 613672, 615090
client 1's average latency: 1602, 701, 18446744071718

client 2's 95th latency: 3696, 41035, 42903
client 2's 99th latency: 3922, 61732, 65228
client 2's max latency: 85805, 737006, 737941
client 2's average latency: 2283, 1260, 3543


==== Server Data ====
     server:       0   total
    res_ops: 1307960 1307960
   prop_ops:  892040  892040

 k-way heap: 2

total time to add requests: 38957375808 nanoseconds;
    count: 2200000;
    average: 17707.90 nanoseconds per request/response
total time to note requests complete: 7763024285 nanoseconds;
    count: 2200000;
    average: 3528.65 nanoseconds per request/response

server timing for QOS algorithm: 21236.55 nanoseconds per request/response
