/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/131_test/dmc_sim_r_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 1250.0
client_limit = 0.0
client_weight = 0.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 1000000
client_server_select_range = 10
client_iops_goal = 5000
client_outstanding_ops = 100
client_reservation = 2000.0
client_limit = 0.0
client_weight = 0.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 1250.0
client_limit = 0.0
client_weight = 0.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 584336 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_265:    0.00    0.00    0.00    0.00
      t_266:    0.00    0.00    0.00    0.00
      t_267:    0.00    0.00    0.00    0.00
      t_268: 1036.00    0.00    0.00 1036.00
      t_269: 1250.00    0.00    0.00 1250.00
      t_270: 1250.50    0.00    0.00 1250.50
      t_271: 1250.00    0.00    0.00 1250.00
      t_272: 1250.00    0.00    0.00 1250.00
      t_273: 1250.50    0.00    0.00 1250.50
      t_274: 1250.00    0.00    0.00 1250.00
      t_275: 1250.00    0.00    0.00 1250.00
      t_276: 1250.50    0.00    0.00 1250.50
      t_277: 1250.00    0.00    0.00 1250.00
      t_278: 1250.00    0.00    0.00 1250.00
      t_279: 1250.50    0.00    0.00 1250.50
      t_280: 1250.00    0.00    0.00 1250.00
      t_281: 1250.00    0.00    0.00 1250.00
      t_282: 1250.00    0.00    0.00 1250.00
      t_283: 1250.50    0.00    0.00 1250.50
      t_284: 1250.00    0.00    0.00 1250.00
      t_285: 1250.50    0.00    0.00 1250.50
      t_286: 1250.00    0.00    0.00 1250.00
      t_287: 1250.00    0.00    0.00 1250.00
      t_288: 1250.50    0.00    0.00 1250.50
      t_289: 1250.00    0.00    0.00 1250.00
      t_290: 1250.00    0.00    0.00 1250.00
      t_291: 1250.00    0.00    0.00 1250.00
      t_292:  210.00    0.00    0.00  210.00
      t_293:    0.00    0.00    0.00    0.00
    res_ops:  600000 1000000  600000 2200000
   prop_ops:       0       0       0       0
total time to track responses: 3315155743 nanoseconds;
    count: 2200000;
    average: 1506.89 nanoseconds per request/response
total time to get request parameters: 3158833656 nanoseconds;
    count: 2200000;
    average: 1435.83 nanoseconds per request/response

client timing for QOS algorithm: 2942.72 nanoseconds per request/response
client 0's 95th latency: 3598, 52127, 54394
client 0's 99th latency: 3683, 110133, 112427
client 0's max latency: 61568, 740058, 743581
client 0's average latency: 1796, 1565, 3362

client 1's 95th latency: 1573, 75417, 76554
client 1's 99th latency: 3288, 122592, 123664
client 1's max latency: 78243, 688091, 689662
client 1's average latency: 1107, 1218, 18446744071740

client 2's 95th latency: 3522, 36114, 38181
